season,team,conference,statName,statValue
2022,Mississippi State,SEC,tacklesForLoss,83
2022,Mississippi State,SEC,tacklesForLossOpponent,55
2022,Mississippi State,SEC,thirdDownConversions,69
2022,Mississippi State,SEC,thirdDownConversionsOpponent,61
2022,Mississippi State,SEC,thirdDowns,176
2022,Mississippi State,SEC,thirdDownsOpponent,182
2022,Mississippi State,SEC,totalYards,5106
2022,Mississippi State,SEC,totalYardsOpponent,4460
2022,Mississippi State,SEC,turnovers,19
2022,Mississippi State,SEC,turnoversOpponent,21
2022,Missouri,SEC,firstDowns,241
2022,Missouri,SEC,firstDownsOpponent,241
2022,Missouri,SEC,fourthDownConversions,9
2022,Missouri,SEC,fourthDownConversionsOpponent,12
2022,Missouri,SEC,fourthDowns,18
2022,Missouri,SEC,fourthDownsOpponent,19
2022,Missouri,SEC,fumblesLost,11
2022,Missouri,SEC,fumblesLostOpponent,7
2022,Missouri,SEC,fumblesRecovered,12
2022,Missouri,SEC,fumblesRecoveredOpponent,15
2022,Missouri,SEC,games,13
2022,Missouri,SEC,interceptions,9
2022,Missouri,SEC,interceptionsOpponent,11
2022,Missouri,SEC,interceptionTDs,2
2022,Missouri,SEC,interceptionTDsOpponent,1
2022,Missouri,SEC,interceptionYards,99
2022,Missouri,SEC,interceptionYardsOpponent,87
2022,Missouri,SEC,kickReturns,14
2022,Missouri,SEC,kickReturnsOpponent,11
2022,Missouri,SEC,kickReturnTDs,0
2022,Missouri,SEC,kickReturnTDsOpponent,0
2022,Missouri,SEC,kickReturnYards,229
2022,Missouri,SEC,kickReturnYardsOpponent,150
2022,Missouri,SEC,netPassingYards,2771
2022,Missouri,SEC,netPassingYardsOpponent,2799
2022,Missouri,SEC,passAttempts,391
2022,Missouri,SEC,passAttemptsOpponent,394
2022,Missouri,SEC,passCompletions,247
2022,Missouri,SEC,passCompletionsOpponent,235
2022,Missouri,SEC,passesIntercepted,11
2022,Missouri,SEC,passesInterceptedOpponent,9
2022,Missouri,SEC,passingTDs,13
2022,Missouri,SEC,passingTDsOpponent,18
2022,Missouri,SEC,penalties,101
2022,Missouri,SEC,penaltiesOpponent,70
2022,Missouri,SEC,penaltyYards,828
2022,Missouri,SEC,penaltyYardsOpponent,553
2022,Missouri,SEC,possessionTime,24245
2022,Missouri,SEC,possessionTimeOpponent,22495
2022,Missouri,SEC,puntReturns,13
2022,Missouri,SEC,puntReturnsOpponent,14
2022,Missouri,SEC,puntReturnTDs,1
2022,Missouri,SEC,puntReturnTDsOpponent,1
2022,Missouri,SEC,puntReturnYards,147
2022,Missouri,SEC,puntReturnYardsOpponent,204
2022,Missouri,SEC,rushingAttempts,493
2022,Missouri,SEC,rushingAttemptsOpponent,444
2022,Missouri,SEC,rushingTDs,21
2022,Missouri,SEC,rushingTDsOpponent,19
2022,Missouri,SEC,rushingYards,2034
2022,Missouri,SEC,rushingYardsOpponent,1632
2022,Missouri,SEC,sacks,35
2022,Missouri,SEC,sacksOpponent,23
2022,Missouri,SEC,tacklesForLoss,91
2022,Missouri,SEC,tacklesForLossOpponent,91
2022,Missouri,SEC,thirdDownConversions,77
2022,Missouri,SEC,thirdDownConversionsOpponent,65
2022,Missouri,SEC,thirdDowns,193
2022,Missouri,SEC,thirdDownsOpponent,186
2022,Missouri,SEC,totalYards,4805
2022,Missouri,SEC,totalYardsOpponent,4431
2022,Missouri,SEC,turnovers,20
2022,Missouri,SEC,turnoversOpponent,18
2022,Ole Miss,SEC,firstDowns,327
2022,Ole Miss,SEC,firstDownsOpponent,277
2022,Ole Miss,SEC,fourthDownConversions,17
2022,Ole Miss,SEC,fourthDownConversionsOpponent,17
2022,Ole Miss,SEC,fourthDowns,35
2022,Ole Miss,SEC,fourthDownsOpponent,36
2022,Ole Miss,SEC,fumblesLost,9
2022,Ole Miss,SEC,fumblesLostOpponent,12
2022,Ole Miss,SEC,fumblesRecovered,22
2022,Ole Miss,SEC,fumblesRecoveredOpponent,15
2022,Ole Miss,SEC,games,13
2022,Ole Miss,SEC,interceptions,11
2022,Ole Miss,SEC,interceptionsOpponent,8
2022,Ole Miss,SEC,interceptionTDs,0
2022,Ole Miss,SEC,interceptionTDsOpponent,0
2022,Ole Miss,SEC,interceptionYards,34
2022,Ole Miss,SEC,interceptionYardsOpponent,28
2022,Ole Miss,SEC,kickReturns,26
2022,Ole Miss,SEC,kickReturnsOpponent,24
2022,Ole Miss,SEC,kickReturnTDs,0
2022,Ole Miss,SEC,kickReturnTDsOpponent,1
2022,Ole Miss,SEC,kickReturnYards,447
2022,Ole Miss,SEC,kickReturnYardsOpponent,536
2022,Ole Miss,SEC,netPassingYards,3118
